Age, Prev
50.135287485907554, 1.1275415896487981
54.01352874859076, 1.3863216266173755
56.989853438556935, 1.5896487985212566
59.6054114994363, 1.7744916820702397
62.17587373167982, 2.033271719038817
64.52085682074409, 2.2920517560073925
66.45997745208568, 2.5693160813308697
68.17361894024802, 2.8280961182994453
69.70687711386697, 3.0683918669131227
71.33032694475762, 3.3271719038817
72.95377677564825, 3.5674676524953792
74.44193912063133, 3.8447319778188547
75.79481397970687, 4.085027726432532
77.23788049605412, 4.4362292051756
78.77113866967306, 4.7504621072088735
80.16910935738444, 5.064695009242144
81.65727170236752, 5.434380776340111
82.96505073280721, 5.711645101663587
84.67869222096957, 6.044362292051756
86.0315670800451, 6.34011090573013
87.60992108229988, 6.709796672828096
89.68432919954904, 7.153419593345657
