Age, Prev
50.180383314543406, 1.5341959334565622
51.48816234498309, 1.7005545286506472
52.97632468996618, 1.8853974121996302
54.28410372040587, 2.051756007393715
55.50169109357385, 2.236598890942698
56.80947012401353, 2.439926062846581
58.07215332581737, 2.6432532347504623
59.24464487034949, 2.8465804066543434
60.417136414881625, 3.0314232902033265
61.72491544532131, 3.2347504621072094
63.213077790304396, 3.4565619223659887
64.47576099210823, 3.6414048059149717
65.87373167981961, 3.863216266173753
67.0913190529876, 4.103512014787431
68.39909808342728, 4.325323475046211
69.52649379932356, 4.547134935304991
70.608793686584, 4.787430683918669
71.64599774520858, 5.046210720887246
72.68320180383314, 5.286506469500924
73.63021420518601, 5.526802218114603
74.71251409244644, 5.822550831792976
75.88500563697858, 6.099815157116451
77.01240135287486, 6.432532347504621
78.13979706877114, 6.78373382624769
79.22209695603156, 7.153419593345657
80.21420518602028, 7.5046210720887245
81.29650507328071, 7.8743068391866915
82.28861330326944, 8.22550831792976
83.37091319052988, 8.55822550831793
84.45321307779031, 8.798521256931608
85.26493799323563, 8.927911275415898
86.3923337091319, 8.983364140480592
87.42953776775647, 8.983364140480592
88.69222096956031, 8.946395563770796
90, 8.8909426987061
