"age","gender","race","N"
34,"Female","Non_Hispanic_White",1105009
35,"Female","Non_Hispanic_White",1147650
36,"Female","Non_Hispanic_White",1118993
37,"Female","Non_Hispanic_White",1149340
38,"Female","Non_Hispanic_White",1231541
39,"Female","Non_Hispanic_White",1343680
40,"Female","Non_Hispanic_White",1371718
41,"Female","Non_Hispanic_White",1317713
42,"Female","Non_Hispanic_White",1290837
43,"Female","Non_Hispanic_White",1323272
44,"Female","Non_Hispanic_White",1356102
45,"Female","Non_Hispanic_White",1466770
46,"Female","Non_Hispanic_White",1528653
47,"Female","Non_Hispanic_White",1552098
48,"Female","Non_Hispanic_White",1577694
49,"Female","Non_Hispanic_White",1623222
50,"Female","Non_Hispanic_White",1629990
51,"Female","Non_Hispanic_White",1607297
52,"Female","Non_Hispanic_White",1621978
53,"Female","Non_Hispanic_White",1618553
54,"Female","Non_Hispanic_White",1568996
55,"Female","Non_Hispanic_White",1569646
56,"Female","Non_Hispanic_White",1533510
57,"Female","Non_Hispanic_White",1494727
58,"Female","Non_Hispanic_White",1451834
59,"Female","Non_Hispanic_White",1413661
60,"Female","Non_Hispanic_White",1381001
61,"Female","Non_Hispanic_White",1371042
62,"Female","Non_Hispanic_White",1379796
63,"Female","Non_Hispanic_White",1483423
64,"Female","Non_Hispanic_White",1066996
65,"Female","Non_Hispanic_White",1066706
66,"Female","Non_Hispanic_White",1064673
67,"Female","Non_Hispanic_White",1116925
68,"Female","Non_Hispanic_White",973652
69,"Female","Non_Hispanic_White",896207
70,"Female","Non_Hispanic_White",851231
71,"Female","Non_Hispanic_White",815181
72,"Female","Non_Hispanic_White",795083
73,"Female","Non_Hispanic_White",744206
74,"Female","Non_Hispanic_White",722827
75,"Female","Non_Hispanic_White",709910
76,"Female","Non_Hispanic_White",650744
77,"Female","Non_Hispanic_White",647834
78,"Female","Non_Hispanic_White",640017
79,"Female","Non_Hispanic_White",630607
80,"Female","Non_Hispanic_White",622945
81,"Female","Non_Hispanic_White",584780
82,"Female","Non_Hispanic_White",572856
83,"Female","Non_Hispanic_White",546181
84,"Female","Non_Hispanic_White",508333
85,"Female","Non_Hispanic_White",434270
86,"Female","Non_Hispanic_White",412470
87,"Female","Non_Hispanic_White",379736
88,"Female","Non_Hispanic_White",339576
89,"Female","Non_Hispanic_White",309407
90,"Female","Non_Hispanic_White",271179
91,"Female","Non_Hispanic_White",228726
92,"Female","Non_Hispanic_White",194950
93,"Female","Non_Hispanic_White",159776
94,"Female","Non_Hispanic_White",123825
95,"Female","Non_Hispanic_White",90821
96,"Female","Non_Hispanic_White",71433
97,"Female","Non_Hispanic_White",50094
