"age","gender","race","N"
34,"Female","Non_Hispanic_White",1382337
35,"Female","Non_Hispanic_White",1325435
36,"Female","Non_Hispanic_White",1301485
37,"Female","Non_Hispanic_White",1329366
38,"Female","Non_Hispanic_White",1372911
39,"Female","Non_Hispanic_White",1492191
40,"Female","Non_Hispanic_White",1547164
41,"Female","Non_Hispanic_White",1570432
42,"Female","Non_Hispanic_White",1594574
43,"Female","Non_Hispanic_White",1636534
44,"Female","Non_Hispanic_White",1647323
45,"Female","Non_Hispanic_White",1612930
46,"Female","Non_Hispanic_White",1635669
47,"Female","Non_Hispanic_White",1633292
48,"Female","Non_Hispanic_White",1574064
49,"Female","Non_Hispanic_White",1589041
50,"Female","Non_Hispanic_White",1542996
51,"Female","Non_Hispanic_White",1513002
52,"Female","Non_Hispanic_White",1468451
53,"Female","Non_Hispanic_White",1437993
54,"Female","Non_Hispanic_White",1428411
55,"Female","Non_Hispanic_White",1399751
56,"Female","Non_Hispanic_White",1412890
57,"Female","Non_Hispanic_White",1519504
58,"Female","Non_Hispanic_White",1104580
59,"Female","Non_Hispanic_White",1107254
60,"Female","Non_Hispanic_White",1104323
61,"Female","Non_Hispanic_White",1169812
62,"Female","Non_Hispanic_White",1027639
63,"Female","Non_Hispanic_White",952004
64,"Female","Non_Hispanic_White",916833
65,"Female","Non_Hispanic_White",883480
66,"Female","Non_Hispanic_White",869390
67,"Female","Non_Hispanic_White",822200
68,"Female","Non_Hispanic_White",809822
69,"Female","Non_Hispanic_White",813268
70,"Female","Non_Hispanic_White",747370
71,"Female","Non_Hispanic_White",757956
72,"Female","Non_Hispanic_White",757717
73,"Female","Non_Hispanic_White",760142
74,"Female","Non_Hispanic_White",768711
75,"Female","Non_Hispanic_White",730332
76,"Female","Non_Hispanic_White",737141
77,"Female","Non_Hispanic_White",720872
78,"Female","Non_Hispanic_White",696533
79,"Female","Non_Hispanic_White",692256
80,"Female","Non_Hispanic_White",658795
81,"Female","Non_Hispanic_White",616514
82,"Female","Non_Hispanic_White",591042
83,"Female","Non_Hispanic_White",552964
84,"Female","Non_Hispanic_White",500499
85,"Female","Non_Hispanic_White",376846
86,"Female","Non_Hispanic_White",357929
87,"Female","Non_Hispanic_White",329524
88,"Female","Non_Hispanic_White",294673
89,"Female","Non_Hispanic_White",268495
90,"Female","Non_Hispanic_White",235321
91,"Female","Non_Hispanic_White",198482
92,"Female","Non_Hispanic_White",169172
93,"Female","Non_Hispanic_White",138649
94,"Female","Non_Hispanic_White",107451
95,"Female","Non_Hispanic_White",78812
96,"Female","Non_Hispanic_White",61987
97,"Female","Non_Hispanic_White",43470
98,"Female","Non_Hispanic_White",31575
99,"Female","Non_Hispanic_White",22123
0,"Male","Non_Hispanic_Black",295174
1,"Male","Non_Hispanic_Black",293011
2,"Male","Non_Hispanic_Black",297082
3,"Male","Non_Hispanic_Black",305277
4,"Male","Non_Hispanic_Black",297917
5,"Male","Non_Hispanic_Black",296322
6,"Male","Non_Hispanic_Black",298988
7,"Male","Non_Hispanic_Black",299533
8,"Male","Non_Hispanic_Black",305474
9,"Male","Non_Hispanic_Black",321197
10,"Male","Non_Hispanic_Black",339756
11,"Male","Non_Hispanic_Black",347018
12,"Male","Non_Hispanic_Black",350300
13,"Male","Non_Hispanic_Black",355175
14,"Male","Non_Hispanic_Black",359601
15,"Male","Non_Hispanic_Black",342438
16,"Male","Non_Hispanic_Black",330758
17,"Male","Non_Hispanic_Black",321158
18,"Male","Non_Hispanic_Black",318825
19,"Male","Non_Hispanic_Black",315108
20,"Male","Non_Hispanic_Black",302436
21,"Male","Non_Hispanic_Black",300908
22,"Male","Non_Hispanic_Black",291115
23,"Male","Non_Hispanic_Black",282364
24,"Male","Non_Hispanic_Black",278696
25,"Male","Non_Hispanic_Black",258359
26,"Male","Non_Hispanic_Black",239474
27,"Male","Non_Hispanic_Black",233562
28,"Male","Non_Hispanic_Black",223796
29,"Male","Non_Hispanic_Black",228966
30,"Male","Non_Hispanic_Black",226430
31,"Male","Non_Hispanic_Black",233571
32,"Male","Non_Hispanic_Black",245666
33,"Male","Non_Hispanic_Black",256012
34,"Male","Non_Hispanic_Black",260476
35,"Male","Non_Hispanic_Black",241791
36,"Male","Non_Hispanic_Black",241405
37,"Male","Non_Hispanic_Black",239370
38,"Male","Non_Hispanic_Black",253803
39,"Male","Non_Hispanic_Black",272009
40,"Male","Non_Hispanic_Black",267664
41,"Male","Non_Hispanic_Black",263880
42,"Male","Non_Hispanic_Black",263036
43,"Male","Non_Hispanic_Black",263143
44,"Male","Non_Hispanic_Black",274275
45,"Male","Non_Hispanic_Black",255669
46,"Male","Non_Hispanic_Black",253422
47,"Male","Non_Hispanic_Black",249044
48,"Male","Non_Hispanic_Black",236341
49,"Male","Non_Hispanic_Black",237131
50,"Male","Non_Hispanic_Black",218579
51,"Male","Non_Hispanic_Black",207879
52,"Male","Non_Hispanic_Black",196311
53,"Male","Non_Hispanic_Black",196235
54,"Male","Non_Hispanic_Black",198164
55,"Male","Non_Hispanic_Black",177469
56,"Male","Non_Hispanic_Black",168266
57,"Male","Non_Hispanic_Black",158394
58,"Male","Non_Hispanic_Black",128080
59,"Male","Non_Hispanic_Black",126426
60,"Male","Non_Hispanic_Black",117423
61,"Male","Non_Hispanic_Black",116920
62,"Male","Non_Hispanic_Black",105199
63,"Male","Non_Hispanic_Black",99639
64,"Male","Non_Hispanic_Black",99519
65,"Male","Non_Hispanic_Black",89770
66,"Male","Non_Hispanic_Black",87182
67,"Male","Non_Hispanic_Black",81563
68,"Male","Non_Hispanic_Black",79599
69,"Male","Non_Hispanic_Black",77751
70,"Male","Non_Hispanic_Black",68273
71,"Male","Non_Hispanic_Black",66804
72,"Male","Non_Hispanic_Black",61056
73,"Male","Non_Hispanic_Black",56546
74,"Male","Non_Hispanic_Black",57205
75,"Male","Non_Hispanic_Black",49571
76,"Male","Non_Hispanic_Black",47224
77,"Male","Non_Hispanic_Black",43677
78,"Male","Non_Hispanic_Black",40667
79,"Male","Non_Hispanic_Black",37511
80,"Male","Non_Hispanic_Black",32852
81,"Male","Non_Hispanic_Black",29627
82,"Male","Non_Hispanic_Black",26160
83,"Male","Non_Hispanic_Black",22534
84,"Male","Non_Hispanic_Black",20585
85,"Male","Non_Hispanic_Black",14085
86,"Male","Non_Hispanic_Black",12344
87,"Male","Non_Hispanic_Black",10913
88,"Male","Non_Hispanic_Black",9312
89,"Male","Non_Hispanic_Black",7956
90,"Male","Non_Hispanic_Black",6531
91,"Male","Non_Hispanic_Black",5363
92,"Male","Non_Hispanic_Black",4224
93,"Male","Non_Hispanic_Black",3258
94,"Male","Non_Hispanic_Black",2602
95,"Male","Non_Hispanic_Black",1841
96,"Male","Non_Hispanic_Black",1311
97,"Male","Non_Hispanic_Black",941
98,"Male","Non_Hispanic_Black",662
99,"Male","Non_Hispanic_Black",489
0,"Female","Non_Hispanic_Black",285612
1,"Female","Non_Hispanic_Black",283082
2,"Female","Non_Hispanic_Black",288839
3,"Female","Non_Hispanic_Black",296458
4,"Female","Non_Hispanic_Black",288694
5,"Female","Non_Hispanic_Black",287012
6,"Female","Non_Hispanic_Black",288926
7,"Female","Non_Hispanic_Black",290254
8,"Female","Non_Hispanic_Black",296229
9,"Female","Non_Hispanic_Black",310022
10,"Female","Non_Hispanic_Black",328583
11,"Female","Non_Hispanic_Black",334504
12,"Female","Non_Hispanic_Black",340327
13,"Female","Non_Hispanic_Black",343814
14,"Female","Non_Hispanic_Black",348140
15,"Female","Non_Hispanic_Black",331555
16,"Female","Non_Hispanic_Black",320943
17,"Female","Non_Hispanic_Black",311417
18,"Female","Non_Hispanic_Black",310151
19,"Female","Non_Hispanic_Black",307381
20,"Female","Non_Hispanic_Black",295427
21,"Female","Non_Hispanic_Black",295368
22,"Female","Non_Hispanic_Black",295343
23,"Female","Non_Hispanic_Black",298833
24,"Female","Non_Hispanic_Black",298927
25,"Female","Non_Hispanic_Black",283445
26,"Female","Non_Hispanic_Black",266131
27,"Female","Non_Hispanic_Black",264514
28,"Female","Non_Hispanic_Black",252846
29,"Female","Non_Hispanic_Black",257747
30,"Female","Non_Hispanic_Black",254504
31,"Female","Non_Hispanic_Black",263303
32,"Female","Non_Hispanic_Black",276717
33,"Female","Non_Hispanic_Black",290780
34,"Female","Non_Hispanic_Black",291291
35,"Female","Non_Hispanic_Black",270441
36,"Female","Non_Hispanic_Black",272711
37,"Female","Non_Hispanic_Black",272949
38,"Female","Non_Hispanic_Black",286283
39,"Female","Non_Hispanic_Black",305935
40,"Female","Non_Hispanic_Black",303968
41,"Female","Non_Hispanic_Black",300101
42,"Female","Non_Hispanic_Black",297527
43,"Female","Non_Hispanic_Black",300020
44,"Female","Non_Hispanic_Black",308545
45,"Female","Non_Hispanic_Black",290127
46,"Female","Non_Hispanic_Black",284787
47,"Female","Non_Hispanic_Black",283535
48,"Female","Non_Hispanic_Black",270683
49,"Female","Non_Hispanic_Black",269512
50,"Female","Non_Hispanic_Black",252898
51,"Female","Non_Hispanic_Black",240694
52,"Female","Non_Hispanic_Black",231301
53,"Female","Non_Hispanic_Black",230246
54,"Female","Non_Hispanic_Black",230172
55,"Female","Non_Hispanic_Black",209913
56,"Female","Non_Hispanic_Black",199152
57,"Female","Non_Hispanic_Black",188184
58,"Female","Non_Hispanic_Black",154575
59,"Female","Non_Hispanic_Black",154598
60,"Female","Non_Hispanic_Black",144328
61,"Female","Non_Hispanic_Black",145934
62,"Female","Non_Hispanic_Black",133245
63,"Female","Non_Hispanic_Black",127608
64,"Female","Non_Hispanic_Black",127071
65,"Female","Non_Hispanic_Black",114956
66,"Female","Non_Hispanic_Black",113959
67,"Female","Non_Hispanic_Black",107138
68,"Female","Non_Hispanic_Black",106721
69,"Female","Non_Hispanic_Black",105881
70,"Female","Non_Hispanic_Black",95367
71,"Female","Non_Hispanic_Black",94818
72,"Female","Non_Hispanic_Black",88719
73,"Female","Non_Hispanic_Black",84392
74,"Female","Non_Hispanic_Black",87505
75,"Female","Non_Hispanic_Black",78474
76,"Female","Non_Hispanic_Black",76775
77,"Female","Non_Hispanic_Black",72902
78,"Female","Non_Hispanic_Black",69856
79,"Female","Non_Hispanic_Black",67185
80,"Female","Non_Hispanic_Black",59397
81,"Female","Non_Hispanic_Black",55441
82,"Female","Non_Hispanic_Black",50510
83,"Female","Non_Hispanic_Black",45275
84,"Female","Non_Hispanic_Black",44157
85,"Female","Non_Hispanic_Black",32781
86,"Female","Non_Hispanic_Black",29954
87,"Female","Non_Hispanic_Black",27094
88,"Female","Non_Hispanic_Black",24357
89,"Female","Non_Hispanic_Black",21497
90,"Female","Non_Hispanic_Black",18236
91,"Female","Non_Hispanic_Black",15591
92,"Female","Non_Hispanic_Black",13052
93,"Female","Non_Hispanic_Black",10705
94,"Female","Non_Hispanic_Black",9059
95,"Female","Non_Hispanic_Black",6501
96,"Female","Non_Hispanic_Black",5214
97,"Female","Non_Hispanic_Black",3877
98,"Female","Non_Hispanic_Black",2979
99,"Female","Non_Hispanic_Black",2268
